name,episode,season,imdb_url
Simpsons Roasting on an Open Fire,1,1,https://www.imdb.com/title/tt0348034/ratings?ref_=tt_ov_rt
Bart the Genius,2,1,https://www.imdb.com/title/tt0756593/ratings?ref_=tt_ov_rt
Homer's Odyssey,3,1,https://www.imdb.com/title/tt0701124/ratings?ref_=tt_ov_rt
There's No Disgrace Like Home,4,1,https://www.imdb.com/title/tt0756399/ratings?ref_=tt_ov_rt
Bart the General,5,1,https://www.imdb.com/title/tt0701059/ratings?ref_=tt_ov_rt
Moaning Lisa,6,1,https://www.imdb.com/title/tt0701178/ratings?ref_=tt_ov_rt
The Call of the Simpsons,7,1,https://www.imdb.com/title/tt0701228/ratings?ref_=tt_ov_rt
The Telltale Head,8,1,https://www.imdb.com/title/tt0756398/ratings?ref_=tt_ov_rt
Life on the Fast Lane,9,1,https://www.imdb.com/title/tt0701152/ratings?ref_=tt_ov_rt
Homer's Night Out,10,1,https://www.imdb.com/title/tt0701123/ratings?ref_=tt_ov_rt
The Crepes of Wrath,11,1,https://www.imdb.com/title/tt0701232/ratings?ref_=tt_ov_rt
Krusty Gets Busted,12,1,https://www.imdb.com/title/tt0701147/ratings?ref_=tt_ov_rt
Some Enchanted Evening,13,1,https://www.imdb.com/title/tt0701215/ratings?ref_=tt_ov_rt
"Bart Gets an F""""",14,2,https://www.imdb.com/title/tt0763024/ratings?ref_=tt_ov_rt
Simpson and Delilah,15,2,https://www.imdb.com/title/tt0701211/ratings?ref_=tt_ov_rt
Treehouse of Horror,16,2,https://www.imdb.com/title/tt0701278/ratings?ref_=tt_ov_rt
Two Cars in Every Garage and Three Eyes on Every Fish,17,2,https://www.imdb.com/title/tt0757023/ratings?ref_=tt_ov_rt
Dancin' Homer,18,2,https://www.imdb.com/title/tt0701084/ratings?ref_=tt_ov_rt
Dead Putting Society,19,2,https://www.imdb.com/title/tt0767442/ratings?ref_=tt_ov_rt
Bart vs. Thanksgiving,20,2,https://www.imdb.com/title/tt0701062/ratings?ref_=tt_ov_rt
Bart the Daredevil,21,2,https://www.imdb.com/title/tt0767438/ratings?ref_=tt_ov_rt
Itchy & Scratchy & Marge,22,2,https://www.imdb.com/title/tt0701140/ratings?ref_=tt_ov_rt
Bart Gets Hit by a Car,23,2,https://www.imdb.com/title/tt0757017/ratings?ref_=tt_ov_rt
"One Fish, Two Fish, Blowfish, Blue Fish",24,2,https://www.imdb.com/title/tt0701195/ratings?ref_=tt_ov_rt
The Way We Was,25,2,https://www.imdb.com/title/tt0701269/ratings?ref_=tt_ov_rt
Homer vs. Lisa and the 8th Commandment,26,2,https://www.imdb.com/title/tt0767443/ratings?ref_=tt_ov_rt
Principal Charming,27,2,https://www.imdb.com/title/tt0767445/ratings?ref_=tt_ov_rt
"Oh Brother, Where Art Thou?",28,2,https://www.imdb.com/title/tt0701191/ratings?ref_=tt_ov_rt
Bart's Dog Gets an F,29,2,https://www.imdb.com/title/tt0701063/ratings?ref_=tt_ov_rt
Old Money,30,2,https://www.imdb.com/title/tt0701192/ratings?ref_=tt_ov_rt
Brush with Greatness,31,2,https://www.imdb.com/title/tt0701077/ratings?ref_=tt_ov_rt
Lisa's Substitute,32,2,https://www.imdb.com/title/tt0701164/ratings?ref_=tt_ov_rt
The War of the Simpsons,33,2,https://www.imdb.com/title/tt0766140/ratings?ref_=tt_ov_rt
Three Men and a Comic Book,34,2,https://www.imdb.com/title/tt0701275/ratings?ref_=tt_ov_rt
Blood Feud,35,2,https://www.imdb.com/title/tt0767440/ratings?ref_=tt_ov_rt
Stark Raving Dad,36,3,https://www.imdb.com/title/tt0701217/ratings?ref_=tt_ov_rt
Mr. Lisa Goes to Washington,37,3,https://www.imdb.com/title/tt0701183/ratings?ref_=tt_ov_rt
When Flanders Failed,38,3,https://www.imdb.com/title/tt0763042/ratings?ref_=tt_ov_rt
Bart the Murderer,39,3,https://www.imdb.com/title/tt0701060/ratings?ref_=tt_ov_rt
Homer Defined,40,3,https://www.imdb.com/title/tt0701110/ratings?ref_=tt_ov_rt
"Like Father, Like Clown",41,3,https://www.imdb.com/title/tt0701153/ratings?ref_=tt_ov_rt
Treehouse of Horror II,42,3,https://www.imdb.com/title/tt0759267/ratings?ref_=tt_ov_rt
Lisa's Pony,43,3,https://www.imdb.com/title/tt0701161/ratings?ref_=tt_ov_rt
Saturdays of Thunder,44,3,https://www.imdb.com/title/tt0768558/ratings?ref_=tt_ov_rt
Flaming Moe's,45,3,https://www.imdb.com/title/tt0701098/ratings?ref_=tt_ov_rt
Burns Verkaufen der Kraftwerk,46,3,https://www.imdb.com/title/tt0769743/ratings?ref_=tt_ov_rt
I Married Marge,47,3,https://www.imdb.com/title/tt0768556/ratings?ref_=tt_ov_rt
Radio Bart,48,3,https://www.imdb.com/title/tt0701200/ratings?ref_=tt_ov_rt
Lisa the Greek,49,3,https://www.imdb.com/title/tt0768557/ratings?ref_=tt_ov_rt
Homer Alone,50,3,https://www.imdb.com/title/tt0768555/ratings?ref_=tt_ov_rt
Bart the Lover,51,3,https://www.imdb.com/title/tt0768553/ratings?ref_=tt_ov_rt
Homer at the Bat,52,3,https://www.imdb.com/title/tt0701114/ratings?ref_=tt_ov_rt
Separate Vocations,53,3,https://www.imdb.com/title/tt0701204/ratings?ref_=tt_ov_rt
Dog of Death,54,3,https://www.imdb.com/title/tt0768554/ratings?ref_=tt_ov_rt
Colonel Homer,55,3,https://www.imdb.com/title/tt0701082/ratings?ref_=tt_ov_rt
Black Widower,56,3,https://www.imdb.com/title/tt0701070/ratings?ref_=tt_ov_rt
The Otto Show,57,3,https://www.imdb.com/title/tt0701254/ratings?ref_=tt_ov_rt
Bart's Friend Falls in Love,58,3,https://www.imdb.com/title/tt0701064/ratings?ref_=tt_ov_rt
"Brother, Can You Spare Two Dimes?",59,3,https://www.imdb.com/title/tt0701076/ratings?ref_=tt_ov_rt
Kamp Krusty,60,4,https://www.imdb.com/title/tt0701142/ratings?ref_=tt_ov_rt
A Streetcar Named Marge,61,4,https://www.imdb.com/title/tt0701048/ratings?ref_=tt_ov_rt
Homer the Heretic,62,4,https://www.imdb.com/title/tt0773647/ratings?ref_=tt_ov_rt
Lisa the Beauty Queen,63,4,https://www.imdb.com/title/tt0701154/ratings?ref_=tt_ov_rt
Treehouse of Horror III,64,4,https://www.imdb.com/title/tt0758368/ratings?ref_=tt_ov_rt
Itchy & Scratchy: The Movie,65,4,https://www.imdb.com/title/tt0701139/ratings?ref_=tt_ov_rt
Marge Gets a Job,66,4,https://www.imdb.com/title/tt0701169/ratings?ref_=tt_ov_rt
New Kid on the Block,67,4,https://www.imdb.com/title/tt0701189/ratings?ref_=tt_ov_rt
Mr. Plow,68,4,https://www.imdb.com/title/tt0701184/ratings?ref_=tt_ov_rt
Lisa's First Word,69,4,https://www.imdb.com/title/tt0701160/ratings?ref_=tt_ov_rt
Homer's Triple Bypass,70,4,https://www.imdb.com/title/tt0772625/ratings?ref_=tt_ov_rt
Marge vs. the Monorail,71,4,https://www.imdb.com/title/tt0701173/ratings?ref_=tt_ov_rt
Selma's Choice,72,4,https://www.imdb.com/title/tt0773650/ratings?ref_=tt_ov_rt
Brother from the Same Planet,73,4,https://www.imdb.com/title/tt0764185/ratings?ref_=tt_ov_rt
I Love Lisa,74,4,https://www.imdb.com/title/tt0773648/ratings?ref_=tt_ov_rt
Duffless,75,4,https://www.imdb.com/title/tt0763029/ratings?ref_=tt_ov_rt
Last Exit to Springfield,76,4,https://www.imdb.com/title/tt0701151/ratings?ref_=tt_ov_rt
So It's Come to This: A Simpsons Clip Show,77,4,https://www.imdb.com/title/tt0773651/ratings?ref_=tt_ov_rt
The Front,78,4,https://www.imdb.com/title/tt0701237/ratings?ref_=tt_ov_rt
Whacking Day,79,4,https://www.imdb.com/title/tt0701292/ratings?ref_=tt_ov_rt
Marge in Chains,80,4,https://www.imdb.com/title/tt0701171/ratings?ref_=tt_ov_rt
