Simpsons Roasting on an Open Fire,1,1,https://www.imdb.com/title/tt0348034/ratings?ref_=tt_ov_rt,1431,880,1507,906,342,141,53,32,31,81,5404
Bart the Genius,2,1,https://www.imdb.com/title/tt0756593/ratings?ref_=tt_ov_rt,514,429,1096,823,323,94,28,10,7,43,3367
Homer's Odyssey,3,1,https://www.imdb.com/title/tt0701124/ratings?ref_=tt_ov_rt,383,235,797,895,402,118,51,26,11,40,2958
There's No Disgrace Like Home,4,1,https://www.imdb.com/title/tt0756399/ratings?ref_=tt_ov_rt,456,381,888,715,275,95,35,14,8,36,2903
Bart the General,5,1,https://www.imdb.com/title/tt0701059/ratings?ref_=tt_ov_rt,573,541,932,533,224,75,20,9,8,34,2949
Moaning Lisa,6,1,https://www.imdb.com/title/tt0701178/ratings?ref_=tt_ov_rt,451,341,763,750,292,110,53,20,7,55,2842
The Call of the Simpsons,7,1,https://www.imdb.com/title/tt0701228/ratings?ref_=tt_ov_rt,483,329,915,598,219,94,40,18,8,46,2750
The Telltale Head,8,1,https://www.imdb.com/title/tt0756398/ratings?ref_=tt_ov_rt,397,332,811,695,241,99,36,20,6,37,2674
Life on the Fast Lane,9,1,https://www.imdb.com/title/tt0701152/ratings?ref_=tt_ov_rt,360,281,708,720,347,109,55,20,12,44,2656
Homer's Night Out,10,1,https://www.imdb.com/title/tt0701123/ratings?ref_=tt_ov_rt,336,206,660,789,304,125,52,33,9,49,2563
The Crepes of Wrath,11,1,https://www.imdb.com/title/tt0701232/ratings?ref_=tt_ov_rt,420,332,864,564,216,92,37,16,8,43,2592
Krusty Gets Busted,12,1,https://www.imdb.com/title/tt0701147/ratings?ref_=tt_ov_rt,688,672,816,360,128,61,30,9,8,55,2827
Some Enchanted Evening,13,1,https://www.imdb.com/title/tt0701215/ratings?ref_=tt_ov_rt,449,320,817,604,221,94,37,18,10,36,2606
"Bart Gets an F""""",14,2,https://www.imdb.com/title/tt0763024/ratings?ref_=tt_ov_rt,649,521,911,470,136,51,25,8,10,40,2821
Simpson and Delilah,15,2,https://www.imdb.com/title/tt0701211/ratings?ref_=tt_ov_rt,569,602,846,407,128,68,13,4,4,36,2677
Treehouse of Horror,16,2,https://www.imdb.com/title/tt0701278/ratings?ref_=tt_ov_rt,796,556,817,460,169,96,30,11,10,54,2999
Two Cars in Every Garage and Three Eyes on Every Fish,17,2,https://www.imdb.com/title/tt0757023/ratings?ref_=tt_ov_rt,468,436,820,455,145,47,24,15,5,36,2451
Dancin' Homer,18,2,https://www.imdb.com/title/tt0701084/ratings?ref_=tt_ov_rt,308,239,613,713,259,110,41,20,5,49,2357
Dead Putting Society,19,2,https://www.imdb.com/title/tt0767442/ratings?ref_=tt_ov_rt,382,357,813,478,146,57,17,10,10,33,2303
Bart vs. Thanksgiving,20,2,https://www.imdb.com/title/tt0701062/ratings?ref_=tt_ov_rt,358,292,680,595,176,79,32,10,13,35,2270
Bart the Daredevil,21,2,https://www.imdb.com/title/tt0767438/ratings?ref_=tt_ov_rt,624,609,698,337,110,57,15,6,5,48,2509
